dataset,scheme,method,seed,missing_rate,status,accuracy,balanced_accuracy,f1,roc_auc,train_size,valid_size,test_size,n_features_before_preprocessing,n_features_after_preprocessing,observed_label_fraction_train,label_completion_method
breast_cancer,mcar,naive,42,0.1,ok,0.9649122807017544,0.9573412698412699,0.9512195121951219,0.9940476190476191,341,114,114,30,25,0.8797653958944281,
breast_cancer,mcar,naive,42,0.2,ok,0.956140350877193,0.9503968253968254,0.9397590361445783,0.9917328042328042,341,114,114,30,25,0.7771260997067448,
breast_cancer,mcar,naive,42,0.3,ok,0.9649122807017544,0.9573412698412699,0.9512195121951219,0.9930555555555556,341,114,114,30,25,0.6803519061583577,
breast_cancer,mcar,naive,42,0.4,ok,0.9649122807017544,0.9573412698412699,0.9512195121951219,0.9927248677248677,341,114,114,30,25,0.5747800586510264,
breast_cancer,mcar,naive,42,0.5,ok,0.956140350877193,0.9503968253968254,0.9397590361445783,0.9920634920634921,341,114,114,30,25,0.5161290322580645,
breast_cancer,mcar,naive,43,0.1,ok,0.9824561403508771,0.9811507936507937,0.9761904761904762,0.9814814814814815,341,114,114,30,24,0.8885630498533724,
breast_cancer,mcar,naive,43,0.2,ok,0.9824561403508771,0.9811507936507937,0.9761904761904762,0.9808201058201058,341,114,114,30,24,0.8005865102639296,
breast_cancer,mcar,naive,43,0.3,ok,0.9824561403508771,0.9811507936507937,0.9761904761904762,0.9801587301587301,341,114,114,30,24,0.718475073313783,
breast_cancer,mcar,naive,43,0.4,ok,0.9736842105263158,0.9692460317460317,0.963855421686747,0.9775132275132276,341,114,114,30,24,0.6392961876832844,
breast_cancer,mcar,naive,43,0.5,ok,0.9824561403508771,0.9811507936507937,0.9761904761904762,0.9775132275132274,341,114,114,30,24,0.5219941348973607,
breast_cancer,mcar,naive,44,0.1,ok,0.9473684210526315,0.9384920634920635,0.926829268292683,0.9904100529100529,341,114,114,30,25,0.9266862170087976,
breast_cancer,mcar,naive,44,0.2,ok,0.9473684210526315,0.933531746031746,0.925,0.9887566137566137,341,114,114,30,25,0.8005865102639296,
breast_cancer,mcar,naive,44,0.3,ok,0.9385964912280702,0.9265873015873016,0.9135802469135802,0.9894179894179895,341,114,114,30,25,0.7243401759530792,
breast_cancer,mcar,naive,44,0.4,ok,0.9473684210526315,0.933531746031746,0.925,0.9887566137566137,341,114,114,30,25,0.6070381231671554,
breast_cancer,mcar,naive,44,0.5,ok,0.9473684210526315,0.933531746031746,0.925,0.9890873015873016,341,114,114,30,25,0.4868035190615836,
breast_cancer,mcar,naive,45,0.1,ok,0.9736842105263158,0.9642857142857143,0.9629629629629629,0.9933862433862434,341,114,114,30,24,0.9090909090909091,
breast_cancer,mcar,naive,45,0.2,ok,0.9736842105263158,0.9642857142857143,0.9629629629629629,0.9937169312169312,341,114,114,30,24,0.8152492668621701,
breast_cancer,mcar,naive,45,0.3,ok,0.9824561403508771,0.9761904761904762,0.975609756097561,0.9990079365079365,341,114,114,30,24,0.7155425219941349,
breast_cancer,mcar,naive,45,0.4,ok,0.9824561403508771,0.9761904761904762,0.975609756097561,0.9993386243386243,341,114,114,30,24,0.6158357771260997,
breast_cancer,mcar,naive,45,0.5,ok,0.9824561403508771,0.9761904761904762,0.975609756097561,1.0,341,114,114,30,24,0.5073313782991202,
breast_cancer,mcar,naive,46,0.1,ok,0.9824561403508771,0.9811507936507937,0.9761904761904762,0.9910714285714286,341,114,114,30,25,0.8504398826979472,
breast_cancer,mcar,naive,46,0.2,ok,0.9824561403508771,0.9761904761904762,0.975609756097561,0.9854497354497355,341,114,114,30,25,0.7419354838709677,
breast_cancer,mcar,naive,46,0.3,ok,0.9824561403508771,0.9811507936507937,0.9761904761904762,0.9854497354497355,341,114,114,30,25,0.6480938416422287,
breast_cancer,mcar,naive,46,0.4,ok,0.9649122807017544,0.9623015873015872,0.9523809523809523,0.9884259259259259,341,114,114,30,25,0.5542521994134897,
breast_cancer,mcar,naive,46,0.5,ok,0.9649122807017544,0.9623015873015872,0.9523809523809523,0.984457671957672,341,114,114,30,25,0.4574780058651026,
breast_cancer,mcar,oracle,42,0.1,ok,0.9736842105263158,0.9692460317460317,0.963855421686747,0.9950396825396826,341,114,114,30,25,0.8797653958944281,
breast_cancer,mcar,oracle,42,0.2,ok,0.9736842105263158,0.9692460317460317,0.963855421686747,0.9950396825396826,341,114,114,30,25,0.7771260997067448,
breast_cancer,mcar,oracle,42,0.3,ok,0.9736842105263158,0.9692460317460317,0.963855421686747,0.9950396825396826,341,114,114,30,25,0.6803519061583577,
breast_cancer,mcar,oracle,42,0.4,ok,0.9736842105263158,0.9692460317460317,0.963855421686747,0.9950396825396826,341,114,114,30,25,0.5747800586510264,
breast_cancer,mcar,oracle,42,0.5,ok,0.9736842105263158,0.9692460317460317,0.963855421686747,0.9950396825396826,341,114,114,30,25,0.5161290322580645,
breast_cancer,mcar,oracle,43,0.1,ok,0.9912280701754386,0.9880952380952381,0.9879518072289156,0.9841269841269841,341,114,114,30,24,0.8885630498533724,
breast_cancer,mcar,oracle,43,0.2,ok,0.9912280701754386,0.9880952380952381,0.9879518072289156,0.9841269841269841,341,114,114,30,24,0.8005865102639296,
breast_cancer,mcar,oracle,43,0.3,ok,0.9912280701754386,0.9880952380952381,0.9879518072289156,0.9841269841269841,341,114,114,30,24,0.718475073313783,
breast_cancer,mcar,oracle,43,0.4,ok,0.9912280701754386,0.9880952380952381,0.9879518072289156,0.9841269841269841,341,114,114,30,24,0.6392961876832844,
breast_cancer,mcar,oracle,43,0.5,ok,0.9912280701754386,0.9880952380952381,0.9879518072289156,0.9841269841269841,341,114,114,30,24,0.5219941348973607,
breast_cancer,mcar,oracle,44,0.1,ok,0.9473684210526315,0.9384920634920635,0.926829268292683,0.9917328042328042,341,114,114,30,25,0.9266862170087976,
breast_cancer,mcar,oracle,44,0.2,ok,0.9473684210526315,0.9384920634920635,0.926829268292683,0.9917328042328042,341,114,114,30,25,0.8005865102639296,
breast_cancer,mcar,oracle,44,0.3,ok,0.9473684210526315,0.9384920634920635,0.926829268292683,0.9917328042328042,341,114,114,30,25,0.7243401759530792,
breast_cancer,mcar,oracle,44,0.4,ok,0.9473684210526315,0.9384920634920635,0.926829268292683,0.9917328042328042,341,114,114,30,25,0.6070381231671554,
breast_cancer,mcar,oracle,44,0.5,ok,0.9473684210526315,0.9384920634920635,0.926829268292683,0.9917328042328042,341,114,114,30,25,0.4868035190615836,
breast_cancer,mcar,oracle,45,0.1,ok,0.9736842105263158,0.9642857142857143,0.9629629629629629,0.9953703703703705,341,114,114,30,24,0.9090909090909091,
breast_cancer,mcar,oracle,45,0.2,ok,0.9736842105263158,0.9642857142857143,0.9629629629629629,0.9953703703703705,341,114,114,30,24,0.8152492668621701,
breast_cancer,mcar,oracle,45,0.3,ok,0.9736842105263158,0.9642857142857143,0.9629629629629629,0.9953703703703705,341,114,114,30,24,0.7155425219941349,
breast_cancer,mcar,oracle,45,0.4,ok,0.9736842105263158,0.9642857142857143,0.9629629629629629,0.9953703703703705,341,114,114,30,24,0.6158357771260997,
breast_cancer,mcar,oracle,45,0.5,ok,0.9736842105263158,0.9642857142857143,0.9629629629629629,0.9953703703703705,341,114,114,30,24,0.5073313782991202,
