dataset,scheme,method,missing_rate,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
breast_cancer,mar1,naive,0.1,0.9719298245614034,0.016873143913746787,0.9648809523809524,0.02146849235556993,0.9606649517154953,0.02424922863891052,0.9909391534391535,0.00434071079976462
breast_cancer,mar1,naive,0.2,0.9701754385964912,0.020194499005651467,0.9615079365079365,0.02518942784448019,0.9578272887095706,0.02936809085628766,0.9892195767195767,0.0055757930090773586
breast_cancer,mar1,naive,0.3,0.9719298245614034,0.016873143913746804,0.9638888888888889,0.020626810830055534,0.9605488076969124,0.024157494587386103,0.9874338624338626,0.0068533008518725696
breast_cancer,mar1,naive,0.4,0.968421052631579,0.013303290252722031,0.9591269841269842,0.015832661997940915,0.9555510388437216,0.01913343587614602,0.9872354497354496,0.00725104236701889
breast_cancer,mar1,naive,0.5,0.9736842105263157,0.016410778012166432,0.9652777777777779,0.020307033224661437,0.9628974978504805,0.023587861512120393,0.9869047619047618,0.009525876098537951
breast_cancer,mar1,oracle,0.1,0.9736842105263157,0.016410778012166415,0.9682539682539684,0.019121364352575804,0.963557987272357,0.022935123432123165,0.9918650793650794,0.004573784497888934
breast_cancer,mar1,oracle,0.2,0.9736842105263157,0.016410778012166415,0.9682539682539684,0.019121364352575804,0.963557987272357,0.022935123432123165,0.9918650793650794,0.004573784497888934
breast_cancer,mar1,oracle,0.3,0.9736842105263157,0.016410778012166415,0.9682539682539684,0.019121364352575804,0.963557987272357,0.022935123432123165,0.9918650793650794,0.004573784497888934
breast_cancer,mar1,oracle,0.4,0.9736842105263157,0.016410778012166415,0.9682539682539684,0.019121364352575804,0.963557987272357,0.022935123432123165,0.9918650793650794,0.004573784497888934
breast_cancer,mar1,oracle,0.5,0.9736842105263157,0.016410778012166415,0.9682539682539684,0.019121364352575804,0.963557987272357,0.022935123432123165,0.9918650793650794,0.004573784497888934
breast_cancer,mar1,unlabeled,0.1,0.968421052631579,0.015935001863671052,0.9630952380952381,0.019483379386297593,0.9563568189331708,0.02263387958390073,0.9913359788359788,0.0034397893185041726
breast_cancer,mar1,unlabeled,0.2,0.9631578947368421,0.015691705105261675,0.9579365079365079,0.016189187429255132,0.9494923576035317,0.02139418573657039,0.9882275132275133,0.004074310272820489
breast_cancer,mar1,unlabeled,0.3,0.956140350877193,0.016410778012166442,0.9503968253968254,0.01792590376943717,0.9397774665421725,0.022319816919686094,0.989616402116402,0.009744355362837038
breast_cancer,mar1,unlabeled,0.4,0.9596491228070174,0.021125604524196998,0.9551587301587301,0.023741221475057653,0.9447414087586253,0.029414102411077232,0.9869708994708996,0.007477494625202836
breast_cancer,mar1,unlabeled,0.5,0.9649122807017543,0.017543859649122785,0.9603174603174602,0.01904400180600442,0.9519163763066203,0.024110026831589172,0.9875,0.009221981839581981
breast_cancer,mar2,naive,0.1,0.9719298245614034,0.009609167675529247,0.9648809523809524,0.011666767897196062,0.9609110334744578,0.013694391458833987,0.9918650793650793,0.004874702053317658
breast_cancer,mar2,naive,0.2,0.9719298245614034,0.011437197202109887,0.9638888888888889,0.013097492590924102,0.9607347184582956,0.016144884502187738,0.9913359788359788,0.006328159007789859
breast_cancer,mar2,naive,0.3,0.9666666666666666,0.011437197202109915,0.9577380952380953,0.016128279811405227,0.9530706834092653,0.016752095480058005,0.9887566137566137,0.0069405065680606184
breast_cancer,mar2,naive,0.4,0.9666666666666666,0.011437197202109903,0.9577380952380953,0.01558518800528217,0.9531242672115022,0.016482611646954557,0.9875661375661375,0.0074884549495863794
breast_cancer,mar2,naive,0.5,0.956140350877193,0.02974706132949681,0.9424603174603174,0.03821054597732295,0.9362089367165902,0.04503939937525529,0.9818783068783068,0.005696091884178384
breast_cancer,mar2,oracle,0.1,0.9736842105263157,0.016410778012166415,0.9682539682539684,0.019121364352575804,0.963557987272357,0.022935123432123165,0.9918650793650794,0.004573784497888934
breast_cancer,mar2,oracle,0.2,0.9736842105263157,0.016410778012166415,0.9682539682539684,0.019121364352575804,0.963557987272357,0.022935123432123165,0.9918650793650794,0.004573784497888934
breast_cancer,mar2,oracle,0.3,0.9736842105263157,0.016410778012166415,0.9682539682539684,0.019121364352575804,0.963557987272357,0.022935123432123165,0.9918650793650794,0.004573784497888934
breast_cancer,mar2,oracle,0.4,0.9736842105263157,0.016410778012166415,0.9682539682539684,0.019121364352575804,0.963557987272357,0.022935123432123165,0.9918650793650794,0.004573784497888934
breast_cancer,mar2,oracle,0.5,0.9736842105263157,0.016410778012166415,0.9682539682539684,0.019121364352575804,0.963557987272357,0.022935123432123165,0.9918650793650794,0.004573784497888934
breast_cancer,mar2,unlabeled,0.1,0.9666666666666666,0.0168731439137468,0.9607142857142857,0.020314301744809957,0.9538324356858962,0.023858889039699155,0.9914021164021163,0.004117030290340196
breast_cancer,mar2,unlabeled,0.2,0.968421052631579,0.01818986083625237,0.9630952380952381,0.021500558829536578,0.9563617943128155,0.0256704266884673,0.9933201058201059,0.006183950852436363
breast_cancer,mar2,unlabeled,0.3,0.9649122807017545,0.010743376064838547,0.9593253968253969,0.014664430058625479,0.9515375418247372,0.015740303512658156,0.9926587301587301,0.004945966895699561
breast_cancer,mar2,unlabeled,0.4,0.9631578947368421,0.011437197202109945,0.955952380952381,0.014145169541775852,0.9488346668327055,0.016365610981198847,0.9881613756613756,0.003016337103436852
breast_cancer,mar2,unlabeled,0.5,0.9596491228070174,0.007845852552630879,0.9551587301587302,0.008884370308427841,0.9448515722398548,0.010567315553130745,0.9810846560846562,0.007174478068160569
